symbol,stage,last_date,last_close,p0_price,bos1_date,bos1_price,p1_resistance,retest_date,retest_price,reaccum_bars,reversal_date,reversal_price,bos2_date,bos2_price,confluence_score,notes
SBIN.NS,FRESH_BOS2,2026-08-06,1085.0,978.8,2026-07-20,1060.0,1067.0,2026-07-24,1000.8,9,2026-07-27,1020.6,2026-08-06,1085.0,8/9,Continuation breakout confirmed
BAJFINANCE.NS,FRESH_BOS2,2026-08-06,1144.8,946.35,2026-06-29,982.05,1052.9,2026-07-09,994.1,16,2026-07-27,1048.3,2026-07-31,1141.2,6/9,Continuation breakout confirmed
BHARTIARTL.NS,FRESH_BOS2,2026-08-06,1948.0,1906.0,2026-07-09,1931.1,1966.0,2026-07-14,1885.0,16,2026-07-27,1905.3,2026-08-05,1978.0,4/9,Continuation breakout confirmed
HEROMOTOCO.NS,FRESH_BOS2,2026-08-06,5550.5,5140.0,2026-07-23,5173.8,5198.3,2026-07-24,4982.0,7,,,2026-08-04,5548.0,5/9,Continuation breakout confirmed
GRASIM.NS,FRESH_BOS2,2026-08-06,3220.0,2979.0,2026-05-21,3154.5,3197.5,2026-06-08,3034.9,42,2026-07-27,3112.4,2026-08-05,3224.0,7/9,Continuation breakout confirmed
JSWSTEEL.NS,FRESH_BOS2,2026-08-06,1307.9,1259.0,2026-07-22,1266.9,1279.3,2026-07-24,1228.1,6,2026-07-28,1246.9,2026-08-03,1292.3,7/9,Continuation breakout confirmed
BAJAJFINSV.NS,FRESH_BOS2,2026-08-06,2086.0,1860.0,2026-07-03,1895.6,1916.0,2026-07-08,1841.5,17,2026-07-21,1900.6,2026-07-31,2029.1,8/9,Continuation breakout confirmed
NESTLEIND.NS,FRESH_BOS2,2026-08-06,1535.0,1444.1,2026-07-22,1493.6,1510.0,2026-07-24,1431.0,7,,,2026-08-04,1520.0,8/9,Continuation breakout confirmed
TORNTPHARM.NS,FRESH_BOS2,2026-08-06,4956.0,4712.9,2026-07-08,4866.4,5085.8,2026-07-17,4695.1,10,2026-07-31,5122.8,2026-07-31,5122.8,5/9,Continuation breakout confirmed
AUBANK.NS,FRESH_BOS2,2026-08-06,1087.6,1025.0,2026-06-24,1067.2,1079.2,2026-06-29,1015.55,28,2026-07-24,1004.0,2026-08-06,1087.6,9/9,Continuation breakout confirmed
CHOLAFIN.NS,FRESH_BOS2,2026-08-06,1940.0,1776.7,2026-06-25,1799.2,1875.0,2026-07-09,1755.3,17,2026-07-27,1785.2,2026-08-03,1888.2,9/9,Continuation breakout confirmed
MOTHERSON.NS,FRESH_BOS2,2026-08-06,155.0,135.83,2026-05-21,137.0,151.77,2026-06-02,140.56,46,2026-07-27,148.97,2026-08-05,154.35,8/9,Continuation breakout confirmed
PGIL.NS,FRESH_BOS2,2026-08-06,2221.5,1970.1,2026-06-24,2081.0,2115.7,2026-06-30,1971.1,27,2026-07-27,2016.6,2026-08-06,2221.5,9/9,Continuation breakout confirmed
GODREJPROP.NS,FRESH_BOS2,2026-08-06,2081.9,1951.9,2026-07-03,1996.4,2075.1,2026-07-09,1984.1,19,2026-07-28,2136.6,2026-08-05,2099.0,4/9,Continuation breakout confirmed
SIEMENS.NS,FRESH_BOS2,2026-08-06,3952.0,3440.0,2026-04-15,3576.1,3901.0,2026-05-14,3469.0,58,2026-07-31,3760.0,2026-08-04,4000.5,6/9,Continuation breakout confirmed
PIDILITIND.NS,FRESH_BOS2,2026-08-06,1686.0,1517.5,2026-06-15,1571.0,1626.7,2026-07-08,1562.7,20,2026-07-27,1611.3,2026-08-05,1665.0,9/9,Continuation breakout confirmed
SHRIRAMFIN.NS,FRESH_BOS2,2026-08-06,1141.0,1023.75,2026-06-29,1032.65,1087.3,2026-07-08,1005.0,21,2026-08-03,1090.2,2026-08-06,1141.0,9/9,Continuation breakout confirmed
BIOCON.NS,FRESH_REVERSAL,2026-08-06,436.6,432.15,2026-07-14,437.3,447.15,2026-07-22,426.35,11,2026-08-06,436.6,,,8/9,"Higher-low reversal confirmed 0d ago at 436.60 (green close above the last confirmed swing-low candle's high). Tactical early entry, 2.4% below P1=447.15."
ABB.NS,FRESH_REVERSAL,2026-08-06,7735.0,7389.0,2026-07-16,7667.5,7924.5,2026-07-29,7085.0,6,2026-08-03,7601.0,,,7/9,"Higher-low reversal confirmed 3d ago at 7601.00 (green close above the last confirmed swing-low candle's high). Tactical early entry, 2.4% below P1=7924.50."
ADANIENT.NS,FRESH_REVERSAL,2026-08-06,3026.0,3059.8,2026-07-01,3143.6,3245.0,2026-07-09,3026.8,20,2026-07-30,3049.1,,,2/9,"Higher-low reversal confirmed 5d ago at 3049.10 (green close above the last confirmed swing-low candle's high). Tactical early entry, 6.7% below P1=3245.00."
DRREDDY.NS,FRESH_REVERSAL,2026-08-06,1171.0,1252.3,2026-02-25,1306.5,1327.0,2026-03-02,1221.2,108,2026-08-03,1180.0,,,3/9,"Higher-low reversal confirmed 3d ago at 1180.00 (green close above the last confirmed swing-low candle's high). Tactical early entry, 11.8% below P1=1327.00."
GODREJCP.NS,FRESH_REVERSAL,2026-08-06,1077.3,1093.8,2026-07-06,1100.6,1118.0,2026-07-08,1066.6,21,2026-08-03,1085.9,,,5/9,"Higher-low reversal confirmed 3d ago at 1085.90 (green close above the last confirmed swing-low candle's high). Tactical early entry, 3.6% below P1=1118.00."
ICICIBANK.NS,PRE_BOS2_READY,2026-08-06,1457.5,1443.9,2026-07-20,1460.2,1480.0,2026-07-24,1415.4,9,2026-07-27,1445.7,,,7/9,"Re-accumulation complete (9d), price 1.5% under P1=1480.00; range not yet contracted. Watch for breakout w/ volume."
ASIANPAINT.NS,PRE_BOS2_READY,2026-08-06,2755.0,2665.7,2026-06-15,2739.3,2832.7,2026-07-01,2624.0,26,2026-07-27,2710.2,,,5/9,"Re-accumulation complete (26d), price 2.7% under P1=2832.70; range not yet contracted. Watch for breakout w/ volume."
CIPLA.NS,PRE_BOS2_READY,2026-08-06,1477.0,1444.5,2026-06-29,1454.1,1490.1,2026-07-17,1404.0,14,2026-07-28,1444.6,,,8/9,"Re-accumulation complete (14d), price 0.9% under P1=1490.10; range not yet contracted. Watch for breakout w/ volume."
KOTAKBANK.NS,PRE_BOS2_READY,2026-08-06,394.0,386.45,2026-06-29,395.5,404.85,2026-06-30,389.9,27,2026-07-13,384.65,,,4/9,"Re-accumulation complete (27d), price 2.7% under P1=404.85; range not yet contracted. Watch for breakout w/ volume."
ULTRACEMCO.NS,PRE_BOS2_READY,2026-08-06,12075.0,11236.0,2026-04-27,12010.0,12282.0,2026-04-30,11484.0,70,2026-07-10,11711.0,,,5/9,"Re-accumulation complete (70d), price 1.7% under P1=12282.00; volatility contracted (coiled). Watch for breakout w/ volume."
INDIGO.NS,PRE_BOS2_READY,2026-08-06,5318.5,5175.0,2026-06-24,5207.2,5476.5,2026-07-08,5094.0,21,2026-07-27,5230.0,,,5/9,"Re-accumulation complete (21d), price 2.9% under P1=5476.50; range not yet contracted. Watch for breakout w/ volume."
BHARATFORG.NS,PRE_BOS2_READY,2026-08-06,2210.0,2044.0,2026-06-22,2103.8,2238.0,2026-06-30,2056.1,27,2026-07-27,2181.3,,,8/9,"Re-accumulation complete (27d), price 1.3% under P1=2238.00; range not yet contracted. Watch for breakout w/ volume."
AUROPHARMA.NS,PRE_BOS2_READY,2026-08-06,1588.9,1550.0,2026-06-30,1578.7,1636.8,2026-07-09,1550.1,20,2026-07-27,1549.4,,,7/9,"Re-accumulation complete (20d), price 2.9% under P1=1636.80; range not yet contracted. Watch for breakout w/ volume."
